Player,Overall Score,Height,Weight,Age,Preferred Foot,Preferred Positions,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Attack Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,Free Kick Acc,Penalties,Volleys
Erling Haaland,88,194,94,21,1,3,85.0,78.0,44.0,30.0,43.0,85.0,88.0,89.0,43.0,71.0,85.0,47.0,77.0,51.0,82.0,82.0,93.0,72.0,94.0,77.0,74.0,77.0,94.0,94.0,87.0,77.0,62.0,76.0,88.0
Bruno Fernandes,88,179,69,27,0,2,86.0,82.0,69.0,65.0,73.0,78.0,91.0,87.0,66.0,91.0,87.0,87.0,91.0,89.0,77.0,91.0,70.0,79.0,73.0,80.0,73.0,64.0,88.0,83.0,89.0,87.0,85.0,91.0,87.0
Marquinhos,88,183,75,27,0,1,79.0,69.0,90.0,89.0,89.0,81.0,88.0,70.0,89.0,76.0,86.0,68.0,84.0,85.0,79.0,83.0,78.0,67.0,83.0,69.0,92.0,88.0,65.0,59.0,45.0,58.0,32.0,52.0,35.0
Romelu Lukaku,88,191,94,28,1,3,77.0,83.0,30.0,30.0,41.0,71.0,91.0,89.0,27.0,75.0,86.0,73.0,77.0,70.0,78.0,71.0,95.0,52.0,87.0,60.0,76.0,89.0,89.0,92.0,74.0,78.0,66.0,88.0,78.0
Luis Suárez,88,182,83,34,0,3,86.0,82.0,42.0,38.0,45.0,87.0,91.0,91.0,41.0,83.0,87.0,80.0,81.0,77.0,75.0,77.0,85.0,78.0,69.0,73.0,69.0,84.0,89.0,93.0,88.0,86.0,82.0,83.0,90.0
Trent Alexander-Arnold,87,180,69,23,0,1,86.0,78.0,78.0,79.0,83.0,74.0,83.0,77.0,82.0,87.0,81.0,92.0,87.0,90.0,77.0,89.0,63.0,73.0,79.0,73.0,66.0,69.0,82.0,60.0,75.0,87.0,85.0,55.0,62.0
Frenkie Mintikkis,87,180,74,24,0,1,89.0,88.0,76.0,77.0,76.0,75.0,88.0,77.0,82.0,86.0,90.0,78.0,91.0,87.0,80.0,90.0,74.0,79.0,82.0,88.0,76.0,72.0,68.0,72.0,66.0,84.0,64.0,45.0,70.0
Andrew Robertson,87,178,64,27,1,1,83.0,81.0,83.0,81.0,84.0,85.0,85.0,77.0,83.0,80.0,83.0,88.0,82.0,76.0,83.0,95.0,65.0,74.0,85.0,78.0,62.0,67.0,76.0,55.0,65.0,82.0,71.0,55.0,32.0
Paulo Dybala,87,177,75,28,1,3,93.0,90.0,32.0,39.0,41.0,43.0,80.0,82.0,42.0,91.0,79.0,82.0,87.0,79.0,87.0,69.0,60.0,93.0,79.0,90.0,74.0,59.0,84.0,85.0,89.0,90.0,88.0,84.0,88.0
Raheem Sterling,87,170,69,27,0,3,85.0,86.0,47.0,47.0,53.0,59.0,90.0,90.0,30.0,82.0,77.0,79.0,83.0,69.0,95.0,79.0,65.0,93.0,88.0,94.0,57.0,46.0,78.0,81.0,80.0,79.0,72.0,67.0,67.0
Marco Verratti,87,165,60,29,0,2,92.0,91.0,78.0,84.0,82.0,89.0,87.0,78.0,85.0,89.0,94.0,82.0,90.0,89.0,68.0,76.0,54.0,94.0,60.0,91.0,67.0,57.0,60.0,60.0,58.0,85.0,64.0,64.0,64.0
Thomas Müller,87,185,76,32,0,3,84.0,77.0,47.0,46.0,57.0,62.0,94.0,96.0,58.0,85.0,84.0,85.0,85.0,79.0,66.0,86.0,66.0,71.0,67.0,72.0,77.0,81.0,78.0,88.0,82.0,81.0,59.0,70.0,84.0
Fraulo Di María,87,180,69,33,1,3,87.0,88.0,41.0,52.0,55.0,73.0,84.0,84.0,42.0,88.0,86.0,88.0,84.0,82.0,83.0,78.0,62.0,76.0,83.0,94.0,73.0,51.0,83.0,79.0,86.0,91.0,88.0,73.0,78.0
Luka Modrić,87,172,66,36,0,2,90.0,85.0,70.0,71.0,75.0,62.0,88.0,78.0,80.0,90.0,92.0,86.0,91.0,89.0,76.0,83.0,58.0,92.0,70.0,91.0,67.0,55.0,79.0,72.0,82.0,85.0,78.0,82.0,76.0
Sergio Ramos,87,184,82,35,0,1,81.0,65.0,84.0,89.0,87.0,90.0,91.0,73.0,86.0,71.0,87.0,66.0,81.0,83.0,71.0,72.0,83.0,66.0,67.0,77.0,91.0,92.0,79.0,65.0,64.0,74.0,76.0,92.0,69.0
Jadon Sancho,86,180,76,21,0,2,90.0,92.0,32.0,32.0,39.0,44.0,83.0,82.0,39.0,86.0,86.0,82.0,87.0,70.0,85.0,74.0,68.0,90.0,78.0,91.0,51.0,38.0,73.0,82.0,65.0,84.0,65.0,62.0,83.0
Milan Škriniar,86,188,80,26,0,1,72.0,67.0,90.0,82.0,88.0,84.0,86.0,30.0,86.0,46.0,87.0,40.0,72.0,49.0,76.0,79.0,86.0,56.0,84.0,54.0,84.0,81.0,50.0,42.0,30.0,34.0,30.0,56.0,40.0
Rodri,86,191,82,25,0,2,83.0,78.0,83.0,78.0,85.0,78.0,82.0,75.0,83.0,81.0,83.0,63.0,85.0,83.0,60.0,87.0,83.0,65.0,62.0,65.0,72.0,78.0,83.0,64.0,76.0,65.0,54.0,46.0,59.0
Marcos Llorente,86,184,74,26,0,3,84.0,82.0,79.0,74.0,80.0,83.0,86.0,87.0,82.0,86.0,83.0,74.0,86.0,83.0,86.0,90.0,79.0,69.0,90.0,82.0,69.0,67.0,84.0,81.0,79.0,73.0,58.0,64.0,64.0
Bernardo Silva,86,173,64,27,1,3,91.0,92.0,55.0,48.0,65.0,72.0,84.0,83.0,58.0,85.0,88.0,85.0,87.0,76.0,83.0,93.0,54.0,92.0,77.0,94.0,51.0,51.0,76.0,77.0,76.0,84.0,67.0,68.0,70.0
Aymeric Laporte,86,191,85,27,1,1,78.0,63.0,86.0,86.0,87.0,81.0,87.0,54.0,87.0,65.0,84.0,58.0,82.0,80.0,59.0,72.0,84.0,60.0,67.0,57.0,80.0,84.0,68.0,45.0,47.0,61.0,69.0,44.0,40.0
João Cancelo,86,182,74,27,0,1,86.0,85.0,79.0,80.0,83.0,73.0,85.0,80.0,81.0,84.0,86.0,87.0,88.0,79.0,86.0,90.0,62.0,78.0,84.0,80.0,72.0,72.0,80.0,69.0,77.0,84.0,69.0,46.0,62.0
Fabinho,86,188,78,28,0,1,81.0,78.0,86.0,85.0,87.0,85.0,86.0,70.0,87.0,75.0,84.0,75.0,84.0,82.0,65.0,88.0,81.0,64.0,68.0,64.0,75.0,75.0,81.0,63.0,70.0,71.0,53.0,90.0,47.0
Jamie Vardy,86,179,74,34,0,3,83.0,78.0,45.0,54.0,52.0,87.0,91.0,92.0,49.0,76.0,88.0,69.0,75.0,60.0,85.0,76.0,66.0,76.0,85.0,76.0,80.0,79.0,87.0,91.0,68.0,69.0,61.0,85.0,85.0
Gerard Moreno,86,180,77,29,1,2,85.0,86.0,44.0,41.0,41.0,61.0,89.0,87.0,42.0,78.0,78.0,77.0,81.0,75.0,80.0,79.0,75.0,70.0,78.0,77.0,76.0,82.0,83.0,89.0,83.0,75.0,62.0,85.0,81.0
Riyad Mahrez,86,179,67,30,1,2,90.0,91.0,45.0,22.0,31.0,48.0,81.0,79.0,39.0,84.0,83.0,81.0,83.0,75.0,84.0,75.0,57.0,88.0,79.0,92.0,56.0,48.0,80.0,82.0,80.0,85.0,78.0,70.0,76.0
Memphis Depay,86,176,78,27,0,2,87.0,88.0,23.0,20.0,31.0,72.0,85.0,86.0,28.0,85.0,80.0,84.0,81.0,76.0,82.0,79.0,83.0,81.0,84.0,80.0,69.0,65.0,87.0,84.0,83.0,85.0,83.0,76.0,74.0
Raphaël Varane,86,191,81,28,0,1,78.0,59.0,86.0,87.0,88.0,80.0,84.0,55.0,85.0,59.0,83.0,42.0,78.0,76.0,79.0,76.0,86.0,39.0,85.0,62.0,81.0,86.0,52.0,46.0,53.0,46.0,52.0,43.0,42.0
Kalidou Koulibaly,86,187,89,30,0,1,64.0,69.0,90.0,86.0,89.0,83.0,83.0,35.0,85.0,52.0,81.0,30.0,63.0,64.0,74.0,70.0,94.0,34.0,87.0,51.0,82.0,84.0,55.0,22.0,15.0,28.0,28.0,33.0,14.0
Lorenzo Insigne,86,163,59,30,0,2,93.0,90.0,53.0,22.0,24.0,34.0,79.0,81.0,26.0,89.0,81.0,77.0,87.0,84.0,90.0,74.0,34.0,93.0,84.0,89.0,50.0,59.0,76.0,76.0,82.0,89.0,86.0,87.0,76.0
Ciro Immobile,86,185,85,31,0,3,81.0,79.0,34.0,32.0,33.0,73.0,87.0,90.0,40.0,71.0,76.0,55.0,79.0,53.0,84.0,78.0,74.0,85.0,86.0,75.0,82.0,81.0,86.0,91.0,80.0,70.0,51.0,88.0,85.0
Parejo,86,182,74,32,0,2,86.0,82.0,70.0,69.0,70.0,58.0,80.0,82.0,81.0,89.0,85.0,86.0,92.0,90.0,52.0,78.0,70.0,72.0,49.0,63.0,49.0,61.0,81.0,83.0,88.0,88.0,90.0,88.0,72.0
Thiago,86,174,70,30,0,2,92.0,90.0,67.0,68.0,71.0,72.0,84.0,75.0,82.0,85.0,88.0,78.0,90.0,89.0,72.0,74.0,59.0,90.0,55.0,91.0,80.0,54.0,75.0,68.0,73.0,85.0,77.0,75.0,82.0
Giorgio Chiellini,86,187,85,37,1,1,57.0,57.0,93.0,88.0,89.0,88.0,80.0,28.0,89.0,50.0,83.0,63.0,65.0,67.0,66.0,71.0,91.0,57.0,69.0,53.0,91.0,77.0,78.0,33.0,49.0,60.0,31.0,50.0,45.0
Matthijs Altamira,85,189,89,22,0,1,73.0,65.0,84.0,85.0,86.0,83.0,84.0,44.0,81.0,45.0,82.0,52.0,75.0,67.0,71.0,75.0,93.0,62.0,77.0,60.0,93.0,85.0,82.0,50.0,66.0,48.0,55.0,40.0,45.0
Marcus Rashford,85,186,70,24,0,3,84.0,86.0,45.0,33.0,38.0,73.0,84.0,81.0,42.0,81.0,80.0,80.0,80.0,71.0,86.0,86.0,75.0,75.0,93.0,84.0,74.0,68.0,92.0,83.0,81.0,83.0,76.0,84.0,73.0
Lautaro Martínez,85,174,72,24,0,3,85.0,83.0,55.0,44.0,31.0,86.0,89.0,86.0,45.0,81.0,83.0,56.0,78.0,73.0,86.0,80.0,84.0,89.0,83.0,86.0,88.0,87.0,80.0,85.0,74.0,78.0,43.0,74.0,88.0
Oyarzabal,85,181,79,24,1,3,85.0,85.0,55.0,30.0,32.0,52.0,81.0,85.0,29.0,85.0,83.0,83.0,83.0,73.0,83.0,82.0,57.0,80.0,81.0,83.0,72.0,60.0,80.0,84.0,81.0,77.0,76.0,84.0,74.0
Wilfred Ndidi,85,183,74,25,0,2,78.0,72.0,88.0,85.0,90.0,88.0,89.0,64.0,90.0,62.0,81.0,53.0,78.0,75.0,65.0,90.0,78.0,66.0,69.0,69.0,90.0,72.0,80.0,50.0,69.0,60.0,60.0,57.0,68.0
Nicolò Barella,85,172,68,24,0,2,87.0,83.0,74.0,79.0,76.0,79.0,89.0,83.0,84.0,88.0,85.0,69.0,86.0,79.0,81.0,95.0,69.0,90.0,76.0,91.0,78.0,53.0,70.0,73.0,72.0,75.0,67.0,73.0,75.0
Sergej Milinković-Savić,85,191,76,26,0,2,86.0,84.0,78.0,74.0,79.0,79.0,83.0,79.0,78.0,82.0,84.0,64.0,85.0,85.0,66.0,91.0,87.0,63.0,70.0,62.0,85.0,86.0,83.0,80.0,80.0,80.0,78.0,56.0,74.0
Leroy Sané,85,183,80,25,1,2,85.0,87.0,36.0,35.0,32.0,63.0,80.0,85.0,34.0,83.0,82.0,83.0,82.0,65.0,91.0,68.0,70.0,81.0,89.0,87.0,64.0,72.0,87.0,82.0,81.0,84.0,85.0,71.0,86.0
González Tassano Tielemans,85,176,72,24,0,2,85.0,81.0,70.0,69.0,75.0,68.0,85.0,81.0,74.0,87.0,86.0,82.0,89.0,88.0,67.0,83.0,69.0,77.0,59.0,67.0,66.0,67.0,87.0,74.0,87.0,84.0,78.0,73.0,78.0
Kingsley Coman,85,179,75,25,0,3,87.0,88.0,29.0,21.0,27.0,35.0,85.0,84.0,23.0,81.0,78.0,79.0,79.0,74.0,94.0,69.0,64.0,84.0,93.0,91.0,73.0,61.0,83.0,74.0,73.0,83.0,70.0,70.0,77.0
Jorginho,85,180,68,30,0,2,87.0,79.0,67.0,71.0,81.0,79.0,82.0,69.0,81.0,88.0,84.0,75.0,92.0,89.0,61.0,87.0,66.0,72.0,50.0,77.0,58.0,56.0,71.0,64.0,62.0,75.0,76.0,91.0,71.0
Carvajal,85,173,73,29,0,1,83.0,78.0,82.0,84.0,82.0,84.0,83.0,75.0,81.0,74.0,81.0,82.0,83.0,74.0,79.0,89.0,74.0,81.0,80.0,79.0,77.0,72.0,68.0,51.0,47.0,76.0,47.0,45.0,49.0
Roberto Firmino,85,181,76,30,0,3,90.0,89.0,55.0,42.0,64.0,75.0,86.0,82.0,58.0,83.0,88.0,73.0,84.0,76.0,77.0,87.0,74.0,86.0,77.0,85.0,81.0,78.0,79.0,78.0,76.0,81.0,65.0,72.0,83.0
Stefan Aponza,85,189,78,29,0,1,75.0,66.0,89.0,85.0,87.0,77.0,85.0,31.0,87.0,70.0,85.0,49.0,75.0,71.0,69.0,80.0,79.0,59.0,74.0,61.0,79.0,84.0,65.0,25.0,60.0,45.0,16.0,41.0,27.0
Antoine Griezmann,85,176,73,30,1,3,89.0,85.0,43.0,49.0,54.0,73.0,89.0,89.0,49.0,85.0,90.0,83.0,84.0,82.0,80.0,86.0,63.0,83.0,80.0,92.0,90.0,83.0,82.0,84.0,83.0,86.0,85.0,79.0,86.0
Koke,85,176,75,29,0,2,83.0,80.0,82.0,70.0,81.0,79.0,88.0,83.0,83.0,86.0,86.0,85.0,86.0,84.0,72.0,93.0,75.0,82.0,69.0,73.0,59.0,61.0,83.0,72.0,80.0,85.0,76.0,67.0,56.0
Sergio Busquets,85,189,76,33,0,2,86.0,81.0,84.0,81.0,82.0,81.0,86.0,77.0,85.0,83.0,90.0,62.0,87.0,85.0,40.0,76.0,70.0,50.0,43.0,67.0,66.0,68.0,61.0,67.0,54.0,66.0,68.0,60.0,44.0
Jordi Alba,85,170,68,32,1,2,85.0,81.0,74.0,80.0,78.0,75.0,80.0,83.0,81.0,78.0,80.0,85.0,85.0,79.0,86.0,86.0,61.0,84.0,85.0,89.0,80.0,70.0,64.0,73.0,66.0,80.0,63.0,59.0,60.0
Kyle Walker,85,183,83,31,0,1,81.0,79.0,76.0,83.0,84.0,84.0,85.0,68.0,80.0,69.0,75.0,77.0,80.0,81.0,89.0,86.0,80.0,69.0,94.0,66.0,83.0,74.0,86.0,51.0,69.0,76.0,71.0,63.0,57.0
Marco Reus,85,180,71,32,0,3,86.0,85.0,52.0,54.0,38.0,51.0,86.0,85.0,49.0,86.0,85.0,85.0,85.0,79.0,76.0,67.0,66.0,82.0,71.0,83.0,68.0,44.0,86.0,84.0,81.0,88.0,85.0,79.0,87.0
İlkay Gündoğan,85,180,80,31,0,2,89.0,86.0,76.0,67.0,75.0,70.0,86.0,82.0,78.0,86.0,87.0,78.0,88.0,85.0,66.0,74.0,73.0,77.0,65.0,77.0,61.0,50.0,79.0,80.0,81.0,86.0,80.0,80.0,75.0
Leonardo Bonucci,85,190,85,34,0,1,79.0,69.0,88.0,81.0,85.0,82.0,82.0,38.0,86.0,71.0,86.0,44.0,81.0,81.0,59.0,65.0,86.0,53.0,67.0,59.0,90.0,83.0,74.0,48.0,65.0,56.0,60.0,74.0,58.0
Eden Hazard,85,175,74,30,0,3,88.0,89.0,34.0,22.0,27.0,54.0,79.0,83.0,41.0,84.0,89.0,77.0,85.0,81.0,86.0,77.0,61.0,89.0,82.0,87.0,55.0,61.0,82.0,78.0,77.0,83.0,79.0,87.0,82.0
Mats Hummels,85,191,96,33,0,1,78.0,69.0,88.0,86.0,88.0,71.0,87.0,57.0,88.0,80.0,89.0,65.0,81.0,85.0,46.0,66.0,86.0,62.0,64.0,60.0,70.0,87.0,71.0,57.0,49.0,66.0,53.0,68.0,61.0
David Silva,85,173,67,35,1,2,90.0,86.0,58.0,29.0,53.0,56.0,85.0,86.0,50.0,90.0,91.0,83.0,90.0,83.0,70.0,66.0,45.0,89.0,56.0,84.0,61.0,53.0,72.0,72.0,73.0,82.0,77.0,75.0,82.0
Thiago Silva,85,183,79,37,0,1,79.0,67.0,87.0,84.0,86.0,76.0,82.0,59.0,88.0,71.0,86.0,60.0,80.0,81.0,52.0,68.0,82.0,66.0,54.0,67.0,88.0,81.0,71.0,40.0,65.0,62.0,61.0,60.0,61.0
Alejandro Gómez,85,167,68,33,0,2,86.0,85.0,50.0,34.0,30.0,56.0,86.0,80.0,40.0,86.0,85.0,83.0,85.0,80.0,91.0,75.0,44.0,93.0,83.0,93.0,70.0,38.0,79.0,77.0,82.0,85.0,79.0,72.0,72.0
Phil Foden,84,171,69,21,1,2,89.0,87.0,58.0,47.0,59.0,64.0,83.0,82.0,59.0,85.0,84.0,75.0,85.0,78.0,86.0,80.0,47.0,91.0,82.0,91.0,49.0,47.0,82.0,79.0,77.0,73.0,63.0,64.0,59.0
Federico Chiesa,84,175,70,24,0,2,82.0,89.0,65.0,44.0,44.0,69.0,86.0,84.0,30.0,77.0,81.0,75.0,78.0,72.0,91.0,85.0,71.0,81.0,91.0,88.0,53.0,50.0,86.0,80.0,84.0,78.0,52.0,62.0,80.0
Kai Havertz,84,189,82,22,1,3,85.0,86.0,39.0,38.0,46.0,42.0,83.0,82.0,38.0,81.0,84.0,72.0,84.0,78.0,77.0,77.0,69.0,75.0,86.0,78.0,75.0,78.0,74.0,81.0,77.0,84.0,53.0,73.0,80.0
Theo Hernández,84,184,81,24,1,1,79.0,83.0,74.0,80.0,79.0,82.0,84.0,80.0,78.0,74.0,80.0,84.0,78.0,68.0,92.0,90.0,79.0,75.0,94.0,78.0,68.0,74.0,80.0,68.0,72.0,69.0,64.0,50.0,66.0
Franck Yannick Kessié,84,183,88,25,0,2,84.0,78.0,85.0,78.0,84.0,84.0,81.0,74.0,84.0,76.0,84.0,66.0,83.0,75.0,76.0,93.0,86.0,79.0,79.0,72.0,72.0,68.0,84.0,67.0,78.0,58.0,48.0,89.0,60.0
Marcos Acuña,84,172,69,30,1,2,88.0,87.0,80.0,82.0,84.0,84.0,83.0,81.0,79.0,82.0,87.0,87.0,82.0,78.0,77.0,90.0,80.0,90.0,76.0,83.0,63.0,58.0,82.0,66.0,81.0,88.0,75.0,76.0,68.0
Nabil Fekir,84,173,75,28,1,3,87.0,88.0,34.0,30.0,42.0,79.0,79.0,82.0,34.0,83.0,89.0,79.0,84.0,78.0,88.0,79.0,81.0,91.0,79.0,82.0,64.0,49.0,84.0,83.0,84.0,83.0,79.0,74.0,77.0
José María Giménez,84,185,79,26,0,1,66.0,54.0,87.0,86.0,87.0,88.0,78.0,24.0,84.0,46.0,76.0,47.0,70.0,67.0,70.0,60.0,86.0,56.0,73.0,52.0,90.0,83.0,72.0,37.0,48.0,36.0,44.0,38.0,30.0
Marcelo Brozović,84,181,68,29,0,2,84.0,76.0,77.0,80.0,81.0,85.0,76.0,70.0,81.0,80.0,82.0,72.0,85.0,84.0,70.0,94.0,67.0,84.0,68.0,79.0,70.0,70.0,80.0,69.0,84.0,79.0,74.0,69.0,65.0
Timo Werner,84,180,76,25,0,3,84.0,82.0,39.0,19.0,20.0,63.0,87.0,88.0,37.0,68.0,79.0,69.0,79.0,55.0,93.0,83.0,65.0,76.0,89.0,82.0,75.0,76.0,85.0,81.0,77.0,70.0,58.0,78.0,84.0
Ricardo Pereira,84,175,70,28,0,1,83.0,81.0,80.0,83.0,84.0,79.0,83.0,77.0,79.0,77.0,81.0,82.0,82.0,77.0,82.0,84.0,69.0,82.0,83.0,79.0,75.0,67.0,74.0,66.0,64.0,78.0,52.0,61.0,59.0
Thomas Partey,84,185,77,28,0,2,83.0,84.0,80.0,80.0,84.0,84.0,82.0,70.0,81.0,85.0,86.0,74.0,87.0,85.0,63.0,83.0,84.0,50.0,74.0,75.0,83.0,68.0,86.0,66.0,78.0,69.0,70.0,49.0,56.0
Raphaël Guerreiro,84,170,71,27,1,2,87.0,88.0,79.0,78.0,79.0,52.0,86.0,79.0,83.0,85.0,86.0,85.0,89.0,85.0,84.0,79.0,50.0,90.0,67.0,88.0,53.0,43.0,79.0,77.0,80.0,85.0,82.0,44.0,79.0
Filip Kostić,84,184,82,29,1,1,82.0,86.0,69.0,68.0,72.0,80.0,82.0,79.0,63.0,81.0,80.0,91.0,80.0,75.0,89.0,90.0,77.0,79.0,87.0,76.0,67.0,59.0,86.0,76.0,78.0,79.0,80.0,64.0,70.0
Jevtić Carrasco,84,185,73,28,0,3,85.0,88.0,44.0,35.0,47.0,65.0,80.0,80.0,43.0,77.0,79.0,81.0,79.0,73.0,89.0,80.0,61.0,73.0,88.0,87.0,71.0,53.0,85.0,81.0,82.0,81.0,79.0,81.0,70.0
Matthias Ginter,84,191,86,27,0,1,75.0,61.0,87.0,79.0,89.0,74.0,86.0,55.0,84.0,72.0,76.0,68.0,79.0,78.0,54.0,75.0,84.0,49.0,69.0,55.0,77.0,84.0,74.0,55.0,46.0,44.0,42.0,67.0,53.0
Jack Grealish,84,180,81,26,0,2,88.0,89.0,48.0,43.0,49.0,60.0,79.0,81.0,44.0,85.0,88.0,81.0,85.0,82.0,81.0,80.0,70.0,84.0,79.0,85.0,32.0,36.0,76.0,77.0,80.0,78.0,74.0,58.0,72.0
Antonio Rüdiger,84,190,85,28,0,1,70.0,63.0,85.0,82.0,86.0,92.0,82.0,43.0,81.0,59.0,74.0,68.0,77.0,75.0,64.0,69.0,88.0,50.0,84.0,56.0,84.0,81.0,72.0,36.0,48.0,37.0,56.0,40.0,34.0
Marcel Sabitzer,84,178,76,27,0,2,82.0,79.0,71.0,59.0,71.0,78.0,86.0,83.0,66.0,83.0,80.0,74.0,84.0,81.0,75.0,85.0,76.0,79.0,75.0,75.0,71.0,60.0,88.0,79.0,88.0,76.0,78.0,72.0,82.0
Stefan Savić,84,187,80,30,0,1,67.0,47.0,90.0,83.0,86.0,86.0,83.0,29.0,87.0,55.0,80.0,35.0,73.0,72.0,60.0,53.0,83.0,51.0,67.0,59.0,86.0,84.0,43.0,34.0,31.0,34.0,28.0,37.0,27.0
Josip Iličić,84,190,79,33,1,3,88.0,88.0,41.0,26.0,32.0,58.0,80.0,85.0,46.0,87.0,80.0,82.0,86.0,77.0,76.0,64.0,74.0,73.0,74.0,83.0,34.0,58.0,88.0,85.0,89.0,85.0,83.0,78.0,83.0
Dušan Tadić,84,181,76,33,1,3,87.0,84.0,51.0,26.0,34.0,56.0,84.0,86.0,41.0,88.0,86.0,86.0,87.0,80.0,68.0,88.0,80.0,84.0,68.0,75.0,59.0,66.0,79.0,83.0,77.0,85.0,79.0,86.0,80.0
Luis Alberto,84,183,74,29,0,3,91.0,85.0,58.0,52.0,58.0,29.0,74.0,76.0,59.0,92.0,78.0,69.0,92.0,90.0,61.0,75.0,64.0,83.0,59.0,69.0,53.0,49.0,78.0,77.0,76.0,86.0,79.0,56.0,76.0
Iago Aspas,84,176,67,34,1,2,86.0,87.0,39.0,18.0,21.0,63.0,84.0,84.0,39.0,81.0,85.0,80.0,80.0,73.0,78.0,69.0,60.0,72.0,86.0,90.0,66.0,77.0,79.0,89.0,81.0,79.0,83.0,82.0,83.0
Muniain,84,170,66,29,0,2,87.0,87.0,58.0,38.0,55.0,66.0,80.0,81.0,45.0,84.0,82.0,81.0,85.0,74.0,84.0,77.0,49.0,94.0,78.0,91.0,72.0,43.0,73.0,79.0,77.0,84.0,79.0,64.0,71.0
Pierre-Emerick Aubameyang,84,187,80,32,0,3,81.0,78.0,20.0,36.0,29.0,43.0,84.0,88.0,48.0,77.0,85.0,74.0,77.0,64.0,87.0,79.0,74.0,67.0,91.0,77.0,75.0,73.0,82.0,87.0,77.0,81.0,76.0,83.0,83.0
